title,latLong,placename,postcode,description
"Lark, Bury St Edmunds: ‘Clever, relaxed, and hugely enjoyable’ – restaurant review","52.245469,0.716433","Lark","IP33 1UZ","Lark, Bury St Edmunds: ‘Clever, relaxed, and hugely enjoyable’ – restaurant review<br>https://www.theguardian.com/food/2023/jul/16/lark-bury-st-edmunds-clever-relaxed-and-hugely-enjoyable-restaurant-review"
"Burnt Smokehouse and Rack City Ribs, London: ‘What a burger!’ - restaurant reviews","51.569444,-0.006823","Burnt Smokehouse","E10 6JT","Burnt Smokehouse and Rack City Ribs, London: ‘What a burger!’ - restaurant reviews<br>https://www.theguardian.com/food/2023/jul/02/burnt-smokehouse-and-rack-city-ribs-restaurant-reviews"
"Los Moros, York: ‘A lot going on in a very small space’ – restaurant review","53.960784,-1.082162","Los Moros","YO1 7HU","Los Moros, York: ‘A lot going on in a very small space’ – restaurant review<br>https://www.theguardian.com/food/2023/jun/25/los-moros-york-restaurant-review-a-lot-going-on-in-a-very-small-space"
"La Gamba, London: ‘A pleasing take on the Spanish repertoire’ – restaurant review","51.505767,-0.116825","La Gamba","SE1 8XX","La Gamba, London: ‘A pleasing take on the Spanish repertoire’ – restaurant review<br>https://www.theguardian.com/food/2023/jun/18/la-gamba-london-a-pleasing-take-on-the-spanish-repertoire-restaurant-review"
"The Suffolk, Aldeburgh: ‘A sweet celebration, perfectly executed’ – restaurant review","52.151325,1.601567","The Suffolk Sur-Mer","IP15 5AQ","The Suffolk, Aldeburgh: ‘A sweet celebration, perfectly executed’ – restaurant review<br>https://www.theguardian.com/food/2023/jun/11/the-suffolk-aldeburgh-restaurant-review-a-sweet-celebration-perfectly-executed"
"The Parakeet, London: ‘The food is great but beware of the dogs’ – restaurant review","51.550103,-0.140557","The Parakeet","NW5 2AA","The Parakeet, London: ‘The food is great but beware of the dogs’ – restaurant review<br>https://www.theguardian.com/food/2023/jun/04/the-parakeet-london-the-food-is-great-but-beware-of-the-dogs-restaurant-review"
"Lir and Native Seafood & Scran, Northern Ireland: ‘Born out of a fascination with the sea’ – restaurant review","55.144779,-6.67591","Lir and Native Seafood & Scran","BT52 1EY","Lir and Native Seafood & Scran, Northern Ireland: ‘Born out of a fascination with the sea’ – restaurant review<br>https://www.theguardian.com/food/2023/may/28/jay-rayner-restaurant-review-lir-northern-ireland-sensational-fresh-seafood"
"Everest Curry King, London: ‘It’s a simple place, but oh so good’","51.466181,-0.019647","Everest Curry King","SE13 7SW","Everest Curry King, London: ‘It’s a simple place, but oh so good’<br>https://www.theguardian.com/food/2023/may/21/restaurant-review-jay-rayner-everest-curry-king-london-a-simple-place-but-oh-so-good"
"Toot, Plymouth: ‘A very good time indeed’ - restaurant review","50.373532,-4.141314","Toot","PL1 1QX","Toot, Plymouth: ‘A very good time indeed’ - restaurant review<br>https://www.theguardian.com/food/2023/may/07/toot-plymouth-restaurant-review-jay-rayner"
"Alexandros Greek Restaurant, Carlisle: ‘Somewhere that will see you right’ – restaurant review","54.893055,-2.930176","Alexandros Greek Restaurant & Deli","CA1 1DR","Alexandros Greek Restaurant, Carlisle: ‘Somewhere that will see you right’ – restaurant review<br>https://www.theguardian.com/food/2023/apr/30/jay-rayner-review-alexandros-carlisle-excellent-greek-family-restaurant"
"Cavo, London: ‘The emptiest of empty vessels’ – restaurant review","51.515309,-0.12985","Cavo","WC2H 0LA","Cavo, London: ‘The emptiest of empty vessels’ – restaurant review<br>https://www.theguardian.com/food/2023/apr/23/jay-rayner-restaurant-review-cavo-london-the-emptiest-of-empty-vessels"
"The Kolossi/Attica, London: ‘It’s not revelatory, it’s much better than that’ – restaurant review","51.525985,-0.109637","The Kolossi/Attica","EC1R 4RR","The Kolossi/Attica, London: ‘It’s not revelatory, it’s much better than that’ – restaurant review<br>https://www.theguardian.com/food/2023/apr/16/jay-rayner-restaurant-review-the-kolossi-attica-london-much-better-than-revelatory"
"Sakura, Salford: ‘It’s all delightful’ – restaurant review","53.485459,-2.257025","Sakura","M3 6AX","Sakura, Salford: ‘It’s all delightful’ – restaurant review<br>https://www.theguardian.com/food/2023/apr/09/jay-rayner-restaurant-review-sakura-salford-it-is-all-delightful-restaurant-review"
"Speedboat Bar, London: ‘Completely irresistible style’ – restaurant review","51.511199,-0.132598","Speedboat Bar","W1D 6DL","Speedboat Bar, London: ‘Completely irresistible style’ – restaurant review<br>https://www.theguardian.com/food/2023/apr/02/jay-rayner-restaurant-review-speedboat-bar-london-completely-irresistible-style"
"111 by Modou, Glasgow: ‘A banging recipe for a great place’ – restaurant review","55.888636,-4.307297","111 by Modou","G12 0JU","111 by Modou, Glasgow: ‘A banging recipe for a great place’ – restaurant review<br>https://www.theguardian.com/food/2023/mar/26/jay-rayner-restaurant-review-111-by-modou-glasgow-a-banging-recipe-for-a-great-place"
"Socca, London: ‘Much is very good, but the missteps baffle’ – restaurant review","51.509973,-0.151714","Socca","W1K 2PS","Socca, London: ‘Much is very good, but the missteps baffle’ – restaurant review<br>https://www.theguardian.com/food/2023/mar/19/jay-rayner-restaurant-review-socca-london-the-food-is-good-but-the-missteps-baffle"
"Isibani, London: ‘Bathe me in the pepper soup’ – restaurant review","51.501364,-0.162436","Isibani","SW1X 7QL","Isibani, London: ‘Bathe me in the pepper soup’ – restaurant review<br>https://www.theguardian.com/food/2023/mar/12/jay-rayner-restaurant-review-isibani-london-bathe-me-in-the-pepper-soup"
"10 Tib Lane, Manchester: ‘There’s a lot to be stimulated by’ – restaurant review","53.480423,-2.244501","10 Tib Lane","M2 4JB","10 Tib Lane, Manchester: ‘There’s a lot to be stimulated by’ – restaurant review<br>https://www.theguardian.com/food/2023/mar/05/jay-rayner-restaurant-review-10-tib-lane-manchester-an-awful-lot-to-be-stimulated-by"
"Kino, Leeds: ‘Expect dramatic bursts of harissa and tahini’ – restaurant review","53.799974,-1.540661","Kino","LS1 6NU","Kino, Leeds: ‘Expect dramatic bursts of harissa and tahini’ – restaurant review<br>https://www.theguardian.com/food/2023/feb/26/jay-rayner-restaurant-review-mormor-at-kino-opera-north-leeds-will-care-for-you-well"
"Matsudai Ramen, Cardiff: ‘Bowls of deep care and thoughtfulness’ – restaurant review","51.470829,-3.186194","Matsudai Ramen","CF11 6QS","Matsudai Ramen, Cardiff: ‘Bowls of deep care and thoughtfulness’ – restaurant review<br>https://www.theguardian.com/food/2023/feb/19/matsudai-ramen-cardiff-bowls-of-deep-care-and-thoughtfulness-restaurant-review"
"The Sportsman Club, West Bromwich: ‘You’ve won at lunch’ – restaurant review","52.512972,-1.983821","The Sportsman Club","B70 6PP","The Sportsman Club, West Bromwich: ‘You’ve won at lunch’ – restaurant review<br>https://www.theguardian.com/food/2023/feb/05/the-sportsman-club-west-bromwich-youve-won-at-lunch-restaurant-review"
"Supawan Thai, London: ‘Takes your mouth on the ride of its life’ – restaurant review","51.531771,-0.12064","Supawan","N1 9DT","Supawan Thai, London: ‘Takes your mouth on the ride of its life’ – restaurant review<br>https://www.theguardian.com/food/2023/jan/29/supawan-thai-london-takes-your-mouth-on-the-ride-of-its-life-restaurant-review"
"Climat, Manchester: ‘You’ve come to the right place’ – restaurant review","53.483375,-2.247865","Climat","M3 2JA","Climat, Manchester: ‘You’ve come to the right place’ – restaurant review<br>https://www.theguardian.com/food/2023/jan/22/climat-manchester-youve-come-to-the-right-place-restaurant-review"
"Bouchon Racine, London: ‘I am a huge, dribbling admirer’ – restaurant review","51.520043,-0.102532","Bouchon Racine","EC1M 6BP","Bouchon Racine, London: ‘I am a huge, dribbling admirer’ – restaurant review<br>https://www.theguardian.com/food/2023/jan/15/bouchon-racine-london-i-am-a-huge-dribbling-admirer-restaurant-review"
"Mandarin Kitchen, London: ‘Seriously good’ – restaurant review","51.511126,-0.186989","Mandarin Kitchen","W2 3RX","Mandarin Kitchen, London: ‘Seriously good’ – restaurant review<br>https://www.theguardian.com/food/2023/jan/08/mandarin-kitchen-london-seriously-good-restaurant-review"
"The Barley Mow, London: ‘Infuriatingly nice’ – restaurant review","51.513021,-0.151032","The Barley Mow","W1K 6JG","The Barley Mow, London: ‘Infuriatingly nice’ – restaurant review<br>https://www.theguardian.com/food/2022/dec/18/the-barley-mow-london-infuriatingly-nice-restaurant-review"
"Tsiakkos & Charcoal, London: ‘It’s just so damn lovely’ – restaurant review","51.523841,-0.19398","Tsiakkos & Charcoal","W9 2DU","Tsiakkos & Charcoal, London: ‘It’s just so damn lovely’ – restaurant review<br>https://www.theguardian.com/food/2022/dec/11/jay-rayner-restaurant-review-tsiakkos-and-charcoal-its-just-so-damn-lovely"
"The Black Bull Inn, Sedbergh: ‘We were properly fed and watered’ – restaurant review","54.323602,-2.527492","The Black Bull Inn","LA10 5BL","The Black Bull Inn, Sedbergh: ‘We were properly fed and watered’ – restaurant review<br>https://www.theguardian.com/food/2022/nov/27/the-black-bull-inn-sedburgh-restaurant-review"
"Leftfield, Edinburgh: ‘Just the place for a dark night’ – restaurant review","55.93968,-3.204169","Leftfield","EH10 4HP","Leftfield, Edinburgh: ‘Just the place for a dark night’ – restaurant review<br>https://www.theguardian.com/food/2022/nov/20/leftfield-edinburgh-just-the-place-for-a-dark-night-restaurant-review"
"Restaurant Elis: ‘It was only fine, it wasn’t awful’ – review","51.530481,-0.055715","Restaurant Elis","E2 9NF","Restaurant Elis: ‘It was only fine, it wasn’t awful’ – review<br>https://www.theguardian.com/food/2022/nov/13/restaurant-elis-it-was-only-fine-it-wasnt-awful-review"
"Roasta Preston, Preston: ‘Takes you far beyond comfort food’ – restaurant review","53.768437,-2.710413","Roasta Preston","PR1 7EP","Roasta Preston, Preston: ‘Takes you far beyond comfort food’ – restaurant review<br>https://www.theguardian.com/food/2022/nov/06/jay-rayner-restaurant-review-roasta-preston-takes-you-far-beyond-comfort-food"
"Jinseon Korean BBQ Restaurant, Coventry: ‘Unalloyed enthusiasm’ – restaurant review","52.40976,-1.508001","Jinseon Korean BBQ Restaurant","CV1 5SQ","Jinseon Korean BBQ Restaurant, Coventry: ‘Unalloyed enthusiasm’ – restaurant review<br>https://www.theguardian.com/food/2022/oct/30/jay-rayner-restaurant-review-jimseon-korean-bbq-coventry-legendary-glowing-coals"
"Moonfish Café, Aberdeen: ‘A crowd-pleasing menu’ – restaurant review","57.147028,-2.09885","Moonfish Café","AB10 1HP","Moonfish Café, Aberdeen: ‘A crowd-pleasing menu’ – restaurant review<br>https://www.theguardian.com/food/2022/oct/23/moonfish-cafe-aberdeen-a-crowd-pleasing-menu-restaurant-review"
"Kushi-Ya, Nottingham: ‘A blissfully good place’ – restaurant review","52.954079,-1.15288","Kushi-Ya","NG1 6JE","Kushi-Ya, Nottingham: ‘A blissfully good place’ – restaurant review<br>https://www.theguardian.com/food/2022/oct/16/jay-rayner-restaurant-revie-kushi-ya-nottingham-a-blissfully-good-place"
"The Rose, Deal: ‘A gentle parade of impressive cooking’ – restaurant review","51.225095,1.402508","The Rose","CT14 6ED","The Rose, Deal: ‘A gentle parade of impressive cooking’ – restaurant review<br>https://www.theguardian.com/food/2022/oct/09/jay-rayner-restaurant-review-the-rose-in-deal-a-gentle-parade-of-impressive-cooking"
"Block Soho, London: ‘A dreadfully disappointing, poor-value experience’ – restaurant review","51.514497,-0.133461","Block Soho","W1F 0AZ","Block Soho, London: ‘A dreadfully disappointing, poor-value experience’ – restaurant review<br>https://www.theguardian.com/food/2022/oct/02/jay-rayner-restaurant-review-block-soho-a-dreadfully-disappointing-experience"
"Lebnani, Reigate: ‘Small but perfectly judged’ – restaurant review","51.238,-0.205071","Lebnani","RH2 0AA","Lebnani, Reigate: ‘Small but perfectly judged’ – restaurant review<br>https://www.theguardian.com/food/2022/sep/25/jay-rayner-restaurant-review-lebnani-reigate-small-but-perfectly-judged"
"L’Hexagone, Norwich: ‘Simple things done very well’ – restaurant review","52.629666,1.291786","L’Hexagone","NR2 1EL","L’Hexagone, Norwich: ‘Simple things done very well’ – restaurant review<br>https://www.theguardian.com/food/2022/sep/18/jay-rayner-restaurant-review-l-hexagone-norwich-simple-things-done-very-well"
"Etles Uyghur, London: ‘You’ll be well fed, and learn a little along the way’ – restaurant review","51.562208,-0.197067","Etles Uyghur Restaurant","NW2 2HY","Etles Uyghur, London: ‘You’ll be well fed, and learn a little along the way’ – restaurant review<br>https://www.theguardian.com/food/2022/sep/11/jay-rayner-restaurant-review-etles-uyghur-london-you-will-be-very-well-fed"
"Lerpwl, Liverpool: ‘From the off they are pushing the tasting menus’ – restaurant review","53.399392,-2.991381","Lerpwl","L3 4AD","Lerpwl, Liverpool: ‘From the off they are pushing the tasting menus’ – restaurant review<br>https://www.theguardian.com/food/2022/sep/04/jay-rayner-restaurant-review-lerpwl-liverpool-they-are-pushing-the-tasting-menus"
"The Palmerston, Edinburgh: ‘It’s a great dinner’ – restaurant review","55.94773,-3.215659","The Palmerston","EH12 5AF","The Palmerston, Edinburgh: ‘It’s a great dinner’ – restaurant review<br>https://www.theguardian.com/food/2022/aug/28/jay-rayner-restaurant-review-the-palmerston-edinburgh-its-a-great-dinner"
"Walter’s, London: ‘So many reasons to go back’ – restaurant review","51.435893,-0.090623","Walter’s","SE21 8BW","Walter’s, London: ‘So many reasons to go back’ – restaurant review<br>https://www.theguardian.com/food/2022/aug/21/walters-london-so-many-reasons-to-go-back-restaurant-review"
"Fallow, Haymarket: ‘Some of the best food I’ve tried in London’ – restaurant review","51.509096,-0.133134","Fallow","SW1Y 4AH","Fallow, Haymarket: ‘Some of the best food I’ve tried in London’ – restaurant review<br>https://www.theguardian.com/food/2022/aug/14/jay-rayner-restaurant-review-fallow-london-some-of-the-best-food-in-the-capital"
"Sohaila, London: ‘It’s charming, the food is great’ – restaurant review","51.522489,-0.078241","Sohaila","E1 6PJ","Sohaila, London: ‘It’s charming, the food is great’ – restaurant review<br>https://www.theguardian.com/food/2022/aug/07/jay-rayner-restaurant-review-sohalla-london-its-charming-and-the-food-is-great"
"Gigi Gao’s Favourite Authentic Chinese, Swansea: ‘A fabulous creation’ – restaurant review","51.615939,-3.940286","Gigi Gao’s Favourite Authentic Chinese","SA1 3XA","Gigi Gao’s Favourite Authentic Chinese, Swansea: ‘A fabulous creation’ – restaurant review<br>https://www.theguardian.com/food/2022/jul/31/jay-rayner-restaurant-review-gigi-gao-swansea-a-fabulous-creation"
"Harbour House, Bristol: ‘Just a delightful place to be’ – restaurant review","51.449023,-2.593993","Harbour House","BS1 4RB","Harbour House, Bristol: ‘Just a delightful place to be’ – restaurant review<br>https://www.theguardian.com/food/2022/jul/24/jay-rayner-restaurant-review-harbour-house-bristol-just-a-delightful-place-to-be"
"Il Borro, London: ‘The music was bad, the pasta dismal’ – restaurant review","51.508454,-0.143259","Il Borro","W1J 8DY","Il Borro, London: ‘The music was bad, the pasta dismal’ – restaurant review<br>https://www.theguardian.com/food/2022/jul/17/jay-rayner-restaurant-review-il-borro-london-the-music-was-bad-the-pasta-dismal"
"Augustus, Taunton: ‘A classy bistro that will look after you’ – restaurant review","51.016942,-3.101878","Augustus","TA1 1JR","Augustus, Taunton: ‘A classy bistro that will look after you’ – restaurant review<br>https://www.theguardian.com/food/2022/jul/10/augustus-taunton-a-classy-bistro-that-will-look-after-you-restaurant-review"
"Sargasso, Margate: ‘Exquisitely good taste’ – restaurant review","51.391226,1.378897","Sargasso","CT9 1AP","Sargasso, Margate: ‘Exquisitely good taste’ – restaurant review<br>https://www.theguardian.com/food/2022/jun/26/jay-rayner-restaurant-review-sargazzo-margate-exquisitely-good-taste"
"Ka Pao, Edinburgh: ‘It’s bold and exciting’ – restaurant review","55.954829,-3.188432","Ka Pao","EH1 3AE","Ka Pao, Edinburgh: ‘It’s bold and exciting’ – restaurant review<br>https://www.theguardian.com/food/2022/jun/12/jay-rayner-restaurant-review-bold-and-exciting-dishes-at-ka-pao-edinburgh"
"Toklas, London: ‘Serves fabulous chips’ – restaurant review","51.512112,-0.1154","Toklas","WC2R 2ND","Toklas, London: ‘Serves fabulous chips’ – restaurant review<br>https://www.theguardian.com/food/2022/may/29/jay-rayner-restaurant-review-toklas-london-serves-the-most-fabulous-chips"
"Les 2 Garçons, London: ‘Designed specifically to be your comfort zone’ – restaurant review","51.577293,-0.123384","Les 2 Garçons","N8 9QH","Les 2 Garçons, London: ‘Designed specifically to be your comfort zone’ – restaurant review<br>https://www.theguardian.com/food/2022/may/22/jay-rayner-restaurant-review-les-2-garcons-london-designed-for-your-comfort-zone"
"Acme Fire Cult, London: ‘A really engaging dinner’ – restaurant review","51.547128,-0.075008","Acme Fire Cult","E8 3DP","Acme Fire Cult, London: ‘A really engaging dinner’ – restaurant review<br>https://www.theguardian.com/food/2022/may/15/jay-rayner-restaurant-review-acme-fire-cult-london-far-more-than-just-dude-food"
"NoMad London: ‘What price, beautiful food?’: restaurant review","51.513702,-0.122652","NoMad London","WC2E 7AW","NoMad London: ‘What price, beautiful food?’: restaurant review<br>https://www.theguardian.com/food/2022/may/08/nomad-london-what-price-beautiful-food-restaurant-review"
"The Alan, Manchester: ‘A truly delightful menu’ – restaurant review","53.478192,-2.241778","The Alan","M1 4LG","The Alan, Manchester: ‘A truly delightful menu’ – restaurant review<br>https://www.theguardian.com/food/2022/may/01/jay-rayner-restaurant-review-the-alan-manchester-a-truly-delightful-menu"
"Yikouchi at Chancer’s Café: ‘An utter joy’ – restaurant review","52.426797,-1.921821","Yikouchi at Chancer’s Café","B30 2PH","Yikouchi at Chancer’s Café: ‘An utter joy’ – restaurant review<br>https://www.theguardian.com/food/2022/apr/24/yikouchi-at-chancers-cafe-birmingham-an-utter-joy-restaurant-review"
"Richoux, London: ‘An instant classic’ – restaurant review","51.507954,-0.139475","Richoux","W1J 9EJ","Richoux, London: ‘An instant classic’ – restaurant review<br>https://www.theguardian.com/food/2022/apr/17/jay-rayner-restaurant-review-richoux-london-an-instant-classic-on-piccadilly"
"Five Little Pigs, Wallingford: ‘The cooking really is up to scratch’ – restaurant review","51.597581,-1.125018","Five Little Pigs","OX10 0ET","Five Little Pigs, Wallingford: ‘The cooking really is up to scratch’ – restaurant review<br>https://www.theguardian.com/food/2022/apr/10/five-little-pigs-wallingford-the-cooking-really-is-up-to-scratch-restaurant-review"
"Claw & Hammer, London: ‘The seafood is terrific’ – restaurant review","51.512324,-0.075366","Claw & Hammer","EC3N 1DD","Claw & Hammer, London: ‘The seafood is terrific’ – restaurant review<br>https://www.theguardian.com/food/2022/apr/03/jay-rayner-restaurant-review-claw-and-hammer-london-the-seafood-is-terrific"
"Queens Wine Bar, Liverpool: ‘Shows you a very nice time indeed’ – restaurant review ","53.406718,-2.990197","Queens Wine Bar and Bistro","L2 4TX","Queens Wine Bar, Liverpool: ‘Shows you a very nice time indeed’ – restaurant review <br>https://www.theguardian.com/food/2022/mar/27/jay-rayner-restaurant-review-queens-wine-bar-liverpool-a-very-nice-time-indeed"
"Double Dragon, London: ‘A great night out’ – restaurant review","51.526685,-0.108524","Double Dragon","EC1R 4QY","Double Dragon, London: ‘A great night out’ – restaurant review<br>https://www.theguardian.com/food/2022/mar/13/jay-rayner-restaurant-review-double-dragon-london-just-a-great-night-out"
"The Heathcock, Cardiff: ‘Identifies the good things, does them well’ – restaurant review","51.496495,-3.22263","The Heathcock","CF5 2EN","The Heathcock, Cardiff: ‘Identifies the good things, does them well’ – restaurant review<br>https://www.theguardian.com/food/2022/mar/06/jay-rayner-restaurant-review-the-heathcock-cardiff-does-the-good-things-well"
"Fletchers at Grantley Hall, Ripon: ‘Confused and asphyxiatingly expensive’ – restaurant review","54.118805,-1.6316","Fletchers at Grantley Hall","HG4 3ET","Fletchers at Grantley Hall, Ripon: ‘Confused and asphyxiatingly expensive’ – restaurant review<br>https://www.theguardian.com/food/2022/feb/27/jay-rayner-restaurant-review-fletchers-at-grantley-hall-rippon-confused-and-expensive"
"Beckford Bottle Shop, Bath: ‘Somewhere to quiet all the bad thoughts’ – restaurant review","51.386319,-2.362029","Beckford Bottle Shop","BA1 2QP","Beckford Bottle Shop, Bath: ‘Somewhere to quiet all the bad thoughts’ – restaurant review<br>https://www.theguardian.com/food/2022/feb/20/jay-rayner-restaurant-review-beckford-bottle-shop-bath-somewhere-to-quiet-all-the-bad-thoughts-restaurant-review"
